,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,
461,Sergio Postigo,es ESP,DF,Levante,32,1988,13,10,848,9.4,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,
462,Darío Poveda,es ESP,FWMF,Getafe,24,1997,15,3,380,4.2,1,0,1,0,0,0,0,0.24,0,0.24,0.24,0.24,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches,
463,José Pozo,es ESP,MF,Rayo Vallecano,25,1996,5,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.16,0.43,0.6,0.16,0.6,Matches,
464,Abdón Prats,es ESP,FW,Mallorca,28,1992,23,6,641,7.1,3,0,3,0,0,3,0,0.42,0,0.42,0.42,0.42,2,2,0.4,2.3,0.27,0.05,0.32,0.27,0.32,Matches,
465,Alejandro Primo,es ESP,GK,Levante,17,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
466,Javi Puado,es ESP,FWMF,Espanyol,23,1998,30,26,2245,24.9,4,1,4,0,0,5,0,0.16,0.04,0.2,0.16,0.2,4.9,4.9,1.2,6.1,0.19,0.05,0.24,0.19,0.24,Matches,
467,Pubill,es ESP,DF,Levante,18,2003,11,5,512,5.7,0,1,0,0,0,1,0,0,0.18,0.18,0,0.18,1,1,0.2,1.3,0.18,0.04,0.22,0.18,0.22,Matches,
468,Antonio Puertas,es ESP,MFFW,Granada,29,1992,33,25,2261,25.1,6,1,6,0,0,4,0,0.24,0.04,0.28,0.24,0.28,3.6,3.6,0.9,4.5,0.14,0.04,0.18,0.14,0.18,Matches,
469,Riqui Puig,es ESP,MF,Barcelona,21,1999,15,2,487,5.4,1,0,1,0,0,0,0,0.18,0,0.18,0.18,0.18,0.7,0.7,0.3,1,0.13,0.05,0.18,0.13,0.18,Matches,
470,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,30,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
471,Quini,es ESP,DF,Granada,31,1989,32,27,2304,25.6,0,1,0,0,0,11,0,0,0.04,0.04,0,0.04,0.5,0.5,1.3,1.9,0.02,0.05,0.07,0.02,0.07,Matches,
472,Dani Raba,es ESP,MFFW,Villarreal,25,1995,7,0,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.27,0.27,0,0.27,Matches,
473,Dani Raba,es ESP,MFFW,Granada,25,1995,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
474,Uro_ Ra_i_,rs SRB,MF,Valencia,23,1998,28,13,1206,13.4,0,0,0,0,0,3,1,0,0,0,0,0,0.9,0.9,0.7,1.7,0.07,0.05,0.12,0.07,0.12,Matches,
475,Nemanja Radoja,rs SRB,MF,Levante,28,1993,19,17,1214,13.5,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.02,0.04,0.06,0.02,0.06,Matches,
476,Rafinha,br BRA,MFFW,Real Sociedad,28,1993,17,13,1050,11.7,1,0,1,0,0,3,0,0.09,0,0.09,0.09,0.09,2.3,2.3,0.7,2.9,0.19,0.06,0.25,0.19,0.25,Matches,
477,Antonio Raillo,es ESP,DF,Mallorca,29,1991,17,17,1530,17,2,0,2,0,0,8,0,0.12,0,0.12,0.12,0.12,1.1,1.1,0,1.1,0.06,0,0.06,0.06,0.06,Matches,
478,Ivan Rakiti_,hr CRO,MF,Sevilla,33,1988,35,26,2182,24.2,4,6,3,1,2,5,0,0.16,0.25,0.41,0.12,0.37,3.4,1.9,2.8,4.7,0.14,0.11,0.26,0.08,0.19,Matches,
479,Jonás Ramalho,es ESP,DF,Osasuna,28,1993,3,3,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,
480,Sandro Ramírez,es ESP,FW,Getafe,26,1995,29,19,1462,16.2,3,0,3,0,0,7,0,0.18,0,0.18,0.18,0.18,2.8,2.8,0.8,3.6,0.17,0.05,0.22,0.17,0.22,Matches,
481,Raúl,es ESP,FW,Betis,20,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
482,Lluís Recasens,es ESP,DF,Espanyol,19,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
483,Manolo Reina,es ESP,GK,Mallorca,36,1985,21,21,1890,21,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0.3,0.3,0,0.02,0.02,0,0.02,Matches,
484,Karim Rekik,nl NED,DF,Sevilla,26,1994,18,11,1098,12.2,0,2,0,0,0,2,0,0,0.16,0.16,0,0.16,0.4,0.4,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches,
485,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35,35,3150,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
486,Nico Ribaudo,es ESP,MFFW,Espanyol,20,2001,31,7,1116,12.4,2,0,2,0,0,5,1,0.16,0,0.16,0.16,0.16,1,1,1.3,2.2,0.08,0.1,0.18,0.08,0.18,Matches,
487,Diego Rico,es ESP,DF,Real Sociedad,28,1993,21,19,1644,18.3,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches,
488,Sergio Rico,es ESP,GK,Mallorca,27,1993,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
489,Luis Rioja,es ESP,FWMF,Alavés,27,1993,37,36,3111,34.6,1,3,1,0,0,3,0,0.03,0.09,0.12,0.03,0.12,3.1,3.1,4.8,7.9,0.09,0.14,0.23,0.09,0.23,Matches,
490,Rober,es ESP,DF,Levante,26,1995,27,21,2010,22.3,1,0,1,0,0,5,1,0.04,0,0.04,0.04,0.04,1.4,1.4,0.4,1.8,0.06,0.02,0.08,0.06,0.08,Matches,
491,Sergi Roberto,es ESP,MFDF,Barcelona,29,1992,9,4,400,4.4,2,1,2,0,0,1,0,0.45,0.23,0.68,0.45,0.68,1.6,1.6,0.3,2,0.36,0.08,0.44,0.36,0.44,Matches,
492,Rubén Rochina,es ESP,MFFW,Granada,30,1991,15,8,743,8.3,1,3,1,0,0,3,0,0.12,0.36,0.48,0.12,0.48,0.6,0.6,0.7,1.3,0.07,0.08,0.16,0.07,0.16,Matches,
493,Enzo Roco,cl CHI,DF,Elche,28,1992,30,29,2552,28.4,1,0,1,0,0,10,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0.1,1.2,0.04,0,0.04,0.04,0.04,Matches,
494,Rodrigo,es ESP,FW,Betis,21,2000,21,10,881,9.8,1,2,1,0,0,1,0,0.1,0.2,0.31,0.1,0.31,1.3,1.3,1.6,2.9,0.13,0.16,0.3,0.13,0.3,Matches,
495,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,27,1994,13,5,435,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches,
496,Ángel Rodríguez,es ESP,FW,Mallorca,34,1987,29,19,1544,17.2,3,2,3,0,0,4,0,0.17,0.12,0.29,0.17,0.29,4.8,4.8,1.3,6.1,0.28,0.08,0.36,0.28,0.36,Matches,
