,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
365,Álvaro Negredo\63b0ca6b,es ESP,FW,Cádiz,36-149,1985,17,9,817,9.1,2,0,0,2,2,1,0,0.22,0.00,0.22,0.00,0.00,2.6,1.0,0.1,1.2,0.28,0.01,0.30,0.11,0.13,Matches
366,Neto\a9dc785c,br BRA,GK,Barcelona,32-181,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
367,Carlos Neva\8d47bb39,es ESP,DF,Granada,25-218,1996,19,17,1536,17.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.2,1.5,0.02,0.07,0.09,0.02,0.09,Matches
368,Saúl Ñíguez\c14bc029,es ESP,DFMF,Atlético Madrid,27-056,1994,3,2,201,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21,Matches
369,Fernando Niño\81d5c497,es ESP,FW,Mallorca,21-084,2000,16,7,693,7.7,2,0,2,0,0,2,0,0.26,0.00,0.26,0.26,0.26,2.5,2.5,0.2,2.7,0.32,0.03,0.35,0.32,0.35,Matches
370,Peru Nolaskoain\857cb4f3,es ESP,MF,Athletic Club,23-083,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
371,Nolito\b2d0ec1b,es ESP,MF,Celta Vigo,35-093,1986,20,11,951,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.1,2.1,0.7,2.8,0.20,0.06,0.26,0.20,0.26,Matches
372,Randy Ntekja\a6103274,fr FRA,FW,Rayo Vallecano,24-041,1997,17,7,731,8.1,3,0,3,0,0,1,0,0.37,0.00,0.37,0.37,0.37,1.8,1.8,1.3,3.0,0.22,0.15,0.37,0.22,0.37,Matches
373,Unai Núñez\be170419,es ESP,DF,Athletic Club,24-351,1997,7,5,487,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.14,0.01,0.16,0.14,0.16,Matches
374,Allan Nyom\97572117,cm CMR,DF,Getafe,33-251,1988,5,3,244,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
375,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,29-009,1993,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
376,Lucas Ocampos\a08b974a,ar ARG,FW,Sevilla,27-189,1994,16,12,1149,12.8,5,2,5,0,0,4,0,0.39,0.16,0.55,0.39,0.55,3.5,3.5,0.4,3.8,0.27,0.03,0.30,0.27,0.30,Matches
377,Brian Oliván\a3e4bf46,es ESP,DF,Mallorca,27-290,1994,15,12,1127,12.5,1,0,1,0,1,4,0,0.08,0.00,0.08,0.08,0.08,1.3,0.5,1.2,1.7,0.10,0.09,0.20,0.04,0.13,Matches
378,Mathías Olivera\41c12f75,uy URU,DF,Getafe,24-077,1997,17,17,1484,16.5,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,1.4,2.7,0.08,0.09,0.16,0.08,0.16,Matches
379,Javier Ontiveros\a83d8b0c,es ESP,MFFW,Osasuna,24-129,1997,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches
380,Pedro Ortiz\f9358b61,es ESP,MF,Sevilla,21-150,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,4.70,4.92,9.63,4.70,9.63,Matches
381,Milutin Osmajić\375ed9d7,me MNE,FWMF,Cádiz,22-175,1999,10,2,257,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.00,0.09,0.09,0.09,Matches
382,Jesús Owono\d6e3d7fb,gq EQG,GK,Alavés,20-321,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
383,Mikel Oyarzabal\8c3c640c,es ESP,MFFW,Real Sociedad,24-270,1997,14,13,1082,12.0,7,1,5,2,3,0,1,0.58,0.08,0.67,0.42,0.50,7.1,4.8,2.0,6.8,0.59,0.17,0.76,0.40,0.57,Matches
384,Fernando Pacheco\97852360,es ESP,GK,Alavés,29-243,1992,17,17,1523,16.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
385,Jon Pacheco\44150beb,es ESP,DF,Real Sociedad,21-008,2001,4,0,51,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
386,Gavi Paez\19cae58d,es ESP,MFFW,Barcelona,17-164,2004,17,14,1135,12.6,1,3,1,0,0,7,1,0.08,0.24,0.32,0.08,0.32,2.2,2.2,1.8,4.0,0.17,0.14,0.32,0.17,0.32,Matches
387,Helibelton Palacios\ac8b2421,co COL,DF,Elche,28-221,1993,17,13,1246,13.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
388,Isaac Palazón Camacho\49dbab27,es ESP,FWMF,Rayo Vallecano,27-020,1994,20,16,1399,15.5,2,0,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,2.1,2.1,1.3,3.3,0.13,0.08,0.21,0.13,0.21,Matches
389,Daniel Parejo\7460ca0d,es ESP,MF,Villarreal,32-275,1989,16,15,1311,14.6,0,6,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.6,0.6,4.0,4.6,0.04,0.28,0.31,0.04,0.31,Matches
390,Javier Pastore\881ef58c,ar ARG,MF,Elche,32-210,1989,9,5,386,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.07,0.12,0.19,0.07,0.19,Matches
391,Gabriel Paulista\b7ca5c51,br BRA,DF,Valencia,31-051,1990,12,12,1015,11.3,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,0.1,1.0,0.07,0.01,0.09,0.07,0.09,Matches
392,Alfonso Pedraza\63f04c6c,es ESP,DF,Villarreal,25-282,1996,13,8,708,7.9,0,2,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.6,0.6,1.2,1.8,0.08,0.15,0.23,0.08,0.23,Matches
393,Pedri\0d9b2d31,es ESP,MF,Barcelona,19-052,2002,2,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.08,0.08,0.16,0.08,0.16,Matches
394,Pedrosa\112521d1,es ESP,DF,Espanyol,23-248,1998,19,19,1661,18.5,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,1.0,1.0,1.3,2.3,0.05,0.07,0.12,0.05,0.12,Matches
395,Facundo Pellistri\ac7e7b1c,uy URU,MFFW,Alavés,20-027,2001,17,6,597,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.0,0.10,0.05,0.16,0.10,0.16,Matches
396,Rubén Peña\1f079188,es ESP,MFFW,Villarreal,30-182,1991,6,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.18,0.77,0.94,0.18,0.94,Matches
397,Alberto Perea\5496cc91,es ESP,MF,Cádiz,31-028,1990,12,7,663,7.4,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.8,0.8,0.6,1.3,0.10,0.08,0.18,0.10,0.18,Matches
398,Victor Perea\b7de5bad,es ESP,DF,Espanyol,21-290,2000,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
399,Iñigo Pérez\bc61cc65,es ESP,MF,Osasuna,33-363,1988,5,2,165,1.8,1,0,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
400,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,25-185,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
401,Lucas Pérez\a300ac7e,es ESP,FW,Elche,33-128,1988,16,14,1114,12.4,2,1,2,0,0,0,0,0.16,0.08,0.24,0.16,0.24,2.5,2.5,1.3,3.8,0.20,0.10,0.30,0.20,0.30,Matches
402,Alex Petxa\97d08e60,es ESP,DF,Athletic Club,24-344,1997,5,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
403,Germán Pezzella\8c725b43,ar ARG,DF,Betis,30-203,1991,9,8,745,8.3,1,0,1,0,0,1,1,0.12,0.00,0.12,0.12,0.12,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
404,Pablo Piatti\48e89655,ar ARG,MFFW,Elche,32-291,1989,5,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.02,0.20,0.22,0.02,0.22,Matches
405,Cristiano Piccini\32c0491f,it ITA,DF,Valencia,29-112,1992,6,3,322,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
406,Tomás Pina Isla\e54bd0a2,es ESP,MF,Alavés,34-094,1987,15,8,702,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches
407,Yeremi Pino\540ec57b,es ESP,MFFW,Villarreal,19-088,2002,19,13,1041,11.6,2,4,2,0,0,2,0,0.17,0.35,0.52,0.17,0.52,2.7,2.7,2.5,5.2,0.24,0.21,0.45,0.24,0.45,Matches
408,Gerard Piqué\adfc9123,es ESP,DF,Barcelona,34-348,1987,17,15,1294,14.4,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,1.7,1.7,0.0,1.7,0.12,0.00,0.12,0.12,0.12,Matches
409,Pere Pons\29b61deb,es ESP,MF,Alavés,28-330,1993,13,11,851,9.5,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.2,1.2,0.5,1.7,0.12,0.06,0.18,0.12,0.18,Matches
410,Portu\1bda5842,es ESP,FWMF,Real Sociedad,29-240,1992,20,10,945,10.5,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,1.7,1.7,0.9,2.6,0.16,0.09,0.25,0.16,0.25,Matches
411,Sergio Postigo\474ecac8,es ESP,DF,Levante,33-073,1988,4,2,208,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
412,Darío Poveda\cbdf7d5c,es ESP,FWMF,Getafe,24-309,1997,14,3,374,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches
413,José Pozo\fc8b614b,es ESP,MF,Rayo Vallecano,25-307,1996,5,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.16,0.43,0.60,0.16,0.60,Matches
414,Abdón Prats\d1b060e2,es ESP,FWMF,Mallorca,29-040,1992,14,3,339,3.8,1,0,1,0,0,3,0,0.27,0.00,0.27,0.27,0.27,1.4,1.4,0.2,1.6,0.38,0.05,0.42,0.38,0.42,Matches
415,Javi Puado\2683eda7,es ESP,MFFW,Espanyol,23-236,1998,13,9,812,9.0,3,0,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,2.2,2.2,0.3,2.5,0.24,0.03,0.28,0.24,0.28,Matches
416,Pubill\365113c0,es ESP,DF,Levante,18-210,2003,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
417,Antonio Puertas\c77a8043,es ESP,MFFW,Granada,29-329,1992,16,11,1054,11.7,4,1,4,0,0,2,0,0.34,0.09,0.43,0.34,0.43,1.7,1.7,0.4,2.1,0.15,0.03,0.18,0.15,0.18,Matches
418,Riqui Puig\f090a37a,es ESP,MF,Barcelona,22-156,1999,10,1,302,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.09,0.07,0.15,0.09,0.15,Matches
419,Yacine Qasmi\3b3cbebb,ma MAR,MF,Rayo Vallecano,31-013,1991,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
420,Quini\7a538238,es ESP,DF,Granada,32-114,1989,15,14,1140,12.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05,Matches
421,Dani Raba\ea6a7ab4,es ESP,FWMF,Villarreal,26-079,1995,5,0,82,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.18,0.18,0.00,0.18,Matches
422,Uroš Račić\faed84db,rs SRB,MF,Valencia,23-305,1998,12,6,540,6.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.04,0.02,0.06,0.04,0.06,Matches
423,Nemanja Radoja\b5dd3469,rs SRB,MF,Levante,28-344,1993,10,8,569,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
424,Rafinha\0c2ac3cb,br BRA,MF,Real Sociedad,28-338,1993,1,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.46,0.15,0.61,0.46,0.61,Matches
425,Antonio Raillo\b857bd29,es ESP,DF,Mallorca,30-100,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
426,Ivan Rakitić\89f951b5,hr CRO,MF,Sevilla,33-312,1988,17,12,990,11.0,2,3,2,0,0,5,0,0.18,0.27,0.45,0.18,0.45,1.0,1.0,1.3,2.2,0.09,0.11,0.20,0.09,0.20,Matches
427,Sandro Ramírez\833fb62e,es ESP,FW,Getafe,26-191,1995,14,12,872,9.7,2,0,2,0,0,4,0,0.21,0.00,0.21,0.21,0.21,2.0,2.0,0.6,2.6,0.21,0.06,0.26,0.21,0.26,Matches
428,Lluís Recasens\c31ea173,es ESP,DF,Espanyol,20-047,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
429,Manolo Reina\605eb473,es ESP,GK,Mallorca,36-290,1985,18,18,1620,18.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches
430,Karim Rekik\3376a776,nl NED,DF,Sevilla,27-045,1994,11,6,596,6.6,0,2,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,Matches
431,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,26-298,1995,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
432,Nico Ribaudo\ce8039aa,es ESP,MFFW,Espanyol,20-280,2001,20,5,745,8.3,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.9,1.6,0.09,0.11,0.20,0.09,0.20,Matches
433,Diego Rico\d9ba39fc,es ESP,DF,Real Sociedad,28-327,1993,8,6,494,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches
434,Luis Rioja\eb3dd471,es ESP,MFFW,Alavés,28-092,1993,20,19,1665,18.5,1,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,2.3,2.3,1.8,4.1,0.12,0.10,0.22,0.12,0.22,Matches
435,Rober\c00097d2,es ESP,DF,Levante,26-334,1995,12,7,713,7.9,1,0,1,0,0,3,1,0.13,0.00,0.13,0.13,0.13,0.9,0.9,0.0,0.9,0.11,0.00,0.12,0.11,0.12,Matches
436,Sergi Roberto\335fa267,es ESP,MFDF,Barcelona,29-343,1992,9,4,400,4.4,2,1,2,0,0,1,0,0.45,0.23,0.68,0.45,0.68,1.6,1.6,0.3,2.0,0.36,0.08,0.44,0.36,0.44,Matches
437,Rubén Rochina\ecd8c01e,es ESP,MFFW,Granada,30-299,1991,10,8,678,7.5,1,3,1,0,0,2,0,0.13,0.40,0.53,0.13,0.53,0.6,0.6,0.6,1.2,0.08,0.08,0.16,0.08,0.16,Matches
438,Enzo Roco\37f827ec,cl CHI,DF,Elche,29-153,1992,17,16,1404,15.6,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches
439,Rodrigo\85bed4ee,es ESP,FW,Betis,21-245,2000,13,8,639,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,1.1,1.1,0.9,1.9,0.15,0.13,0.27,0.15,0.27,Matches
440,Kévin Rodrigues\f1bed920,pt POR,FWDF,Rayo Vallecano,27-317,1994,7,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
441,Óscar Rodríguez Arnaiz\19709006,es ESP,FWMF,Sevilla,23-202,1998,11,4,417,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.2,2.1,0.19,0.26,0.45,0.19,0.45,Matches
442,Ángel Rodríguez\8cfc2f69,es ESP,FW,Mallorca,34-265,1987,14,9,756,8.4,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,2.9,2.9,1.1,4.0,0.35,0.13,0.47,0.35,0.47,Matches
443,Dani Rodríguez\70f8e0bd,es ESP,FWMF,Mallorca,33-224,1988,18,18,1596,17.7,3,2,3,0,0,5,0,0.17,0.11,0.28,0.17,0.28,1.7,1.7,1.6,3.3,0.10,0.09,0.18,0.10,0.18,Matches
444,Guido Rodríguez\34e393f2,ar ARG,MF,Betis,27-279,1994,16,14,1180,13.1,0,2,0,0,0,7,1,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches
445,Rodrygo\8f5e92a6,br BRA,FWMF,Real Madrid,21-007,2001,16,6,580,6.4,0,1,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,0.4,1.6,0.17,0.07,0.24,0.17,0.24,Matches
446,Leonardo Román\924ff27e,es ESP,GK,Mallorca,21-194,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
447,Iván Romero\2fbe6af0,es ESP,FW,Sevilla,20-281,2001,3,2,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.38,0.00,0.38,0.38,0.38,Matches
448,Rubén\35d4f151,es ESP,DF,Espanyol,20-346,2001,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
449,Aitor Ruibal\a55d8df5,es ESP,FWDF,Betis,25-300,1996,11,6,504,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.8,0.09,0.04,0.14,0.09,0.14,Matches
450,Isma Ruiz\6e36226f,es ESP,MF,Granada,20-336,2001,4,1,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
451,Víctor Ruiz\b3dc6eca,es ESP,DF,Betis,32-356,1989,12,12,996,11.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches
452,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,29-241,1992,18,18,1620,18.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
453,Franco Russo\b75ac54b,ar ARG,DF,Mallorca,27-083,1994,14,14,1215,13.5,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
454,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,29-283,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
455,Salvi\405f267a,es ESP,MFFW,Cádiz,30-292,1991,15,12,1019,11.3,1,1,1,0,1,2,1,0.09,0.09,0.18,0.09,0.18,2.2,1.4,1.2,2.6,0.19,0.10,0.30,0.12,0.23,Matches
456,Oihan Sancet\bdb624a3,es ESP,FW,Athletic Club,21-266,2000,17,9,835,9.3,4,3,4,0,0,0,0,0.43,0.32,0.75,0.43,0.75,1.9,1.9,1.2,3.1,0.20,0.13,0.33,0.20,0.33,Matches
457,Antonio Sánchez\a254bbe0,es ESP,FWMF,Mallorca,25-015,1997,11,8,644,7.2,1,0,1,0,0,1,1,0.14,0.00,0.14,0.14,0.14,0.6,0.6,0.2,0.8,0.08,0.02,0.11,0.08,0.11,Matches
458,Germán Sánchez\ea9b2ef9,es ESP,DF,Granada,35-077,1986,16,14,1205,13.4,2,0,2,0,0,5,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,0.0,0.8,0.06,0.00,0.06,0.06,0.06,Matches
459,Juan Sánchez\ff4f78e1,es ESP,MF,Sevilla,18-154,2003,1,0,5,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
460,Manuel Sánchez\ffacd3d5,es ESP,DF,Osasuna,21-145,2000,18,13,1170,13.0,1,2,1,0,0,4,0,0.08,0.15,0.23,0.08,0.23,0.3,0.3,0.7,1.0,0.02,0.06,0.08,0.02,0.08,Matches
461,Oier Sanjurjo\466824fb,es ESP,MF,Osasuna,35-236,1986,15,5,471,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.08,0.04,0.12,0.08,0.12,Matches
462,Sergio Santos\cf59e05f,es ESP,DF,Real Madrid,21-013,2001,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.32,0.32,0.00,0.32,Matches
463,Alvaro Sanz\eaefa2d0,es ESP,MFFW,Barcelona,20-336,2001,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
464,Joan Sastre Vanrell\f9acf8bf,es ESP,DF,Mallorca,24-261,1997,7,2,258,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
465,Esteban Saveljich\79f2a5f5,me MNE,DF,Rayo Vallecano,30-241,1991,16,16,1381,15.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.0,0.05,0.02,0.07,0.05,0.07,Matches
466,Stefan Savić\f6ac68c1,me MNE,DF,Atlético Madrid,31-008,1991,13,13,1090,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.09,0.01,0.10,0.09,0.10,Matches
467,Valentino Scotta\98529579,es ESP,DF,Sevilla,20-159,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
468,Aleksandar Sedlar\a35134ae,rs SRB,DFMF,Mallorca,30-034,1991,9,3,384,4.3,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
469,Nicolás Serrano\2ad0e5e5,es ESP,MFFW,Athletic Club,18-317,2003,7,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.16,0.09,0.25,0.16,0.25,Matches
470,Salva Sevilla\75bd85ea,es ESP,MF,Mallorca,37-304,1984,11,6,549,6.1,1,2,0,1,1,0,0,0.16,0.33,0.49,0.00,0.33,1.2,0.4,1.2,1.6,0.19,0.20,0.39,0.07,0.27,Matches
471,David Silva\e2716bd0,es ESP,MF,Real Sociedad,36-008,1986,11,11,776,8.6,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,1.0,1.8,0.10,0.11,0.21,0.10,0.21,Matches
